Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVT45106OPTB;We owe nothing to the French.;;;;;;;;;;;;;
fra_reps_desc;Haiti has long agreed to paying the french government reparations for their Revolution. It is once again time to demand money from them.;;;;;;;;;;;;;
end_french_title;End French Reparations;;;;;;;;;;;;;
end_french_desc;For far to long Haiti has sacrficed it self to the French, now it is over that we have beaten them on the fields of Battle we can enforce that we shall not pay them.;;;;;;;;;;;;;
end_usa_blockade_title;End US Blockage on US;;;;;;;;;;;;;
end_usa_blockade_desc;For our entire existance the US has blockaded us for being a slave state it is time for that to stop.;;;;;;;;;;;;;
toussaints_legacy_title;For the Legcay of Toussaint we must reform the Nation;;;;;;;;;;;;;
toussaints_legacy_desc;Toussaint Louverture would be dissapointed at the state of Haiti week shall reform the nation to fit his vision of Haiti, Vive la Haiti.;;;;;;;;;;;;;
toussaints_legacy_2_title;The Toussaint Reforms are complete;;;;;;;;;;;;;
toussaints_legacy_2_desc;Toussaint Louverture would be now that the reforms are complete we must put them into effect to see Haiti become the light of the new world.;;;;;;;;;;;;;
equal_rule_title;Unite the Mulattoes and Black Haitians;;;;;;;;;;;;;
equal_rule_desc;For as long as we existed Haiti have been divided on race now that we have the oportunity it is time to unite the people under a Haitian culture.;;;;;;;;;;;;;
pan_africanism_HAI_title;Accept are Black Brothers;;;;;;;;;;;;;
pan_africanism_HAI_desc;Black people across the world have been oppressed by the Europeans since we are the only strong Black state we must liberate them.;;;;;;;;;;;;;
HAI_ULA_claim_title;Enforce Claims on Louisiana;;;;;;;;;;;;;
HAI_ULA_claim_desc;Since the days of Toussaint's capture our nation have unofically claimed the Louisiana Territory but now that Haiti is strong we can enforce our claims.;;;;;;;;;;;;;
HAI_ULA_claim2_title;Enforce Claims on Louisiana;;;;;;;;;;;;;
HAI_ULA_claim2_desc;Since the days of Toussaint's capture our nation have unofically claimed the Louisiana Territory but now that Haiti is strong we can enforce our claims.;;;;;;;;;;;;;
claim_glp_mtq_title;Claim Guadeloupe and Martinique;;;;;;;;;;;;;
claim_glp_mtq_desc;The peoples of Martinique and Guadeloupe are quite similar in culture to the Haitian people thus it is time to unite with them.;;;;;;;;;;;;;
wealth_distribution_title;Wealth Distribution;;;;;;;;;;;;;
wealth_distribution_desc;Now that we have the wealth, we can give it to the People yay.;;;;;;;;;;;;;
que_exiles_title;Atract exiles from the Candians;;;;;;;;;;;;;
que_exiles_desc;There are revolts in we can take the opportunity to accept many exiles.;;;;;;;;;;;;;
GLP;Guadeloupe;;;;;;;;;;;;;
GLP_ADJ;Guadeloupéen;;;;;;;;;;;;;
GLP_conservative;Parti Conservateur des Antilles;;;;;;;;;;;;;
GLP_liberal;Forces Démocratiques Antillais;;;;;;;;;;;;;
GLP_socialist;Mouvement de Décolonisation et d'Émancipation Sociale;;;;;;;;;;;;;
GLP_communist;Parti Révolutionnaire Antillais;;;;;;;;;;;;;
GLP_reactionary;Union des Propriétaires Fonciers;;;;;;;;;;;;;
GLP_anarcho_liberal;Front Libre des Antilles;;;;;;;;;;;;;
GLP_fascist;Garde civile des Antilles;;;;;;;;;;;;;
GLP_democracy;Guadeloupe;;;;;;;;;;;;;
GLP_presidential_dictatorship;Guadeloupe;;;;;;;;;;;;;
GLP_bourgeois_dictatorship;Guadeloupe;;;;;;;;;;;;;
GLP_proletarian_dictatorship;République Socialiste du Guadeloupe;;;;;;;;;;;;;
GLP_fascist_dictatorship;Guadeloupe;;;;;;;;;;;;;
GLP_absolute_monarchy;Royaume de Guadeloupe;;;;;;;;;;;;;
GLP_prussian_constitutionalism;Royaume de Guadeloupe;;;;;;;;;;;;;
MTQ;Martinique;;;;;;;;;;;;;
MTQ_ADJ;Martiniqués;;;;;;;;;;;;;
MTQ_democracy;Martinique;;;;;;;;;;;;;
MTQ_presidential_dictatorship;Martinique;;;;;;;;;;;;;
MTQ_bourgeois_dictatorship;Martinique;;;;;;;;;;;;;
MTQ_proletarian_dictatorship;République Socialiste du Martinique;;;;;;;;;;;;;
MTQ_fascist_dictatorship;Martinique;;;;;;;;;;;;;
MTQ_absolute_monarchy;Royaume de Martinique;;;;;;;;;;;;;
MTQ_prussian_constitutionalism;Royaume de Martinique;;;;;;;;;;;;;
reps_haiti;Haitian Reparations;;;;;;;;;;;;;
reps_haiti_desc;Compensation for lost plantations.;;;;;;;;;;;;;
USA_blockade;US Blockade;;;;;;;;;;;;;
USA_blockade_desc;The US Navy sent ships to Haiti 19 times between 1857 and 1913.;;;;;;;;;;;;;
HAI_mass_reforms;Haitian Mass Reforms;;;;;;;;;;;;;
HAI_mass_reforms_desc;Toussaint's Legacy;;;;;;;;;;;;;
toussaints_legacy;Toussaint's Legacy;;;;;;;;;;;;;
equal_rule;Equal Rule;;;;;;;;;;;;;
scorched_earth;Scorched Earth;;;;;;;;;;;;;
scorched_earth_desc;When Napoleon's troops arrived in Saint-Domingue, the Haitians adopted a scorched-earth policy.;;;;;;;;;;;;;
death_war;Last Stand;;;;;;;;;;;;;
death_war_desc;Our Finest Hour;;;;;;;;;;;;;
full_siege_me_down_title;Haiti Shall not fall;;;;;;;;;;;;;
full_siege_me_down_desc;Haiti will not be enslaved once again;;;;;;;;;;;;;
diplo_end_blockade_title;Diplomatically end US blockade;;;;;;;;;;;;;
diplo_end_blockade_desc;We must peacfully end the the US Blockade on us;;;;;;;;;;;;;
colombia_afro_latino_title;Intergrate Our Afro-Latino Population into the General Population;;;;;;;;;;;;;
colombia_afro_latino_desc;In an agreement in Alexandre Petion, then President of Haiti, and El Liberator, Simon Bolivar, agreed to that Haiti would support Bolivar until all of the Americas are free, but Bolivar would have to end slavery and give equal rights to all slaves in liberated territories, though Bolivar reduced the power of slavery in all countries he freed slavery and discrimination still existed well after Bolivar. But there is always room for change and in our new consistution we have given equal rights to the rest of the population.;;;;;;;;;;;;;
claim_the_andes_title;Claim the Andean states;;;;;;;;;;;;;
claim_the_andes_desc;Years ago the Andes were controlled by Simon Bolivar and was on the path towards unification before divisions broke it all appart but we now again have the opportunity to reunite;;;;;;;;;;;;;
hindustani;Hindustani;;;;;;;;;;;;;
PROV3297;Corumba;;;;;;;;;;;;;
PROV3298;Milk River;;;;;;;;;;;;;
PROV3299;Big Muddy Creek;;;;;;;;;;;;;
