Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
popular_prophylactic_desc;Prophylactics and the like are become widespread in the population, reducing the fertility rate.;;;;;;;;;;;;;
women_workforce;Women in the Workforce;;;;;;;;;;;;;
women_workforce_desc;Women are increasingly being employed in greater numbers, upsetting the more traditional order of family life. Decreasing stay at home wifes results in a reduced interest in having children.;;;;;;;;;;;;;
late_marriage;Late Marriage;;;;;;;;;;;;;
late_marriage_desc;As traditional early marriages become less common, the window for having children is reduced, decreasing the birthrate.;;;;;;;;;;;;;
basic_drugs;Basic Drugs;;;;;;;;;;;;;
basic_drugs_desc;Prior to the 19th century, humorism (also known as humoralism) was thought to explain the cause of disease.;;;;;;;;;;;;;
very_low_literacy;Very Low Literacy;;;;;;;;;;;;;
low_literacy;Low Literacy;;;;;;;;;;;;;
medium_literacy;Medium Literacy;;;;;;;;;;;;;
high_literacy;High Literacy;;;;;;;;;;;;;
very_high_literacy;Very High Literacy;;;;;;;;;;;;;
extremely_high_literacy;Extremely High Literacy;;;;;;;;;;;;;
mines_and_fields_shiftwork;Mines and Fields Shiftwork;;;;;;;;;;;;;
mines_and_fields_shiftwork_desc;The advent of electricity and on the clock shifts can be applied to our mines fields to increase the resource turnover.;;;;;;;;;;;;;
break_the_cartels_title;Break the Cartels;;;;;;;;;;;;;
break_the_cartels_desc;With the collapse of the previous fascist regime, it is time to also force the collapse of the cartels that helped sustain it.;;;;;;;;;;;;;
EVTNAME670001;The New Economy;;;;;;;;;;;;;
EVTDESC670001;With the advent of new work oppertunities given by our Supreme Leader, let us force the undesirables to earn their keep in our great nation!;;;;;;;;;;;;;
EVT670001OPTA;Get to work!;;;;;;;;;;;;;
EVT670001OPTB;Not now, let us bide out time.;;;;;;;;;;;;;
i_promise_title;§EI Promise§!;;;;;;;;;;;;;
i_promise_desc;Our rapid growth has alarmed the other great powers. We can now make a promise to them and the international community that we seek no more significant expansion for the next 10 years.\n\n§YWe may only make this promise once.§!;;;;;;;;;;;;;
promise_against_expansion;Our Promise;;;;;;;;;;;;;
promise_against_expansion_desc;We have promised that for the next 10 years, we will not undertake any siginifant expansion.;;;;;;;;;;;;;
EVTNAME777790;Initial Industrialisation & Population Boom;;;;;;;;;;;;;
EVTDESC777790;Living conditions are starting to increase and infant mortality is dropping, this is having a noticeable effect on our population growth.;;;;;;;;;;;;;
EVTOPTA777790;We look forward to continued improvements;;;;;;;;;;;;;
claim_mongolia_title;Claim Mongolia;;;;;;;;;;;;;
claim_mongolia_desc;Long have the Mongolian lands to the north been considered part of China, but they have broken away in the chaos. Now we shall restore them to China!;;;;;;;;;;;;;
become_democratic_china_title;Restore the Republic!;;;;;;;;;;;;;
become_democratic_china_desc;Long has the military controlled the government, but now they are reluctantly willing to surrender up the majority of their power to the civiliian administration. This is a new dawn for a free and prosperous China!;;;;;;;;;;;;;
begin_land_transfer;Begin Land Transfer;;;;;;;;;;;;;
hide_the_decisions_title;§PHide Extra Decisions§!;;;;;;;;;;;;;
hide_the_decisions_desc;Remove decisions clutter by hiding the general, management, and MP options.;;;;;;;;;;;;;
show_the_decisions_title;§PShow Extra Decisions§!;;;;;;;;;;;;;
show_the_decisions_desc;Show decisions that allow general, management, or MP options.;;;;;;;;;;;;;
land_transfer_title;§YAllow Land Transfer§!;;;;;;;;;;;;;
land_transfer_desc;Take this decision to enable transfer CBs to be justified on our nation, for us to recieve land transfers, and for us to justify them on others.\n§YThis must be taken to use the Demand for Ally CBs.\n§RWesternised countries cannot take land from uncivs via transfer.§!;;;;;;;;;;;;;
land_transfer_unciv_title;§YAllow Land Transfer§!;;;;;;;;;;;;;
land_transfer_unciv_desc;Take this decision to enable transfer CBs to be justified on our nation, for us to recieve land transfers, and for us to justify them on others.;;;;;;;;;;;;;
end_land_transfer_title;§YDisallow Land Transfer§!;;;;;;;;;;;;;
end_land_transfer_desc;Take this decions to prevent transfer CBs being justified on our nation, for us to not recieve land transfers, and to prevent us justifying on others.\nTaking this decision will also stop us from using the Demand for Ally CBs.;;;;;;;;;;;;;
end_land_transfer_unciv_title;§YDisallow Land Transfer§!;;;;;;;;;;;;;
end_land_transfer_unciv_desc;Take this decions to prevent transfer CBs being justified on our nation (and to prevent us justifying them on other nations).§Y RP FROM CONQUEST DEBUFF IS CURRENTLY ACTIVE§R Cannot use whilst either is at war.§!;;;;;;;;;;;;;
socialist_uh;Socialists want to see the enactment of further political and social reforms.;;;;;;;;;;;;;
liberal_uh;Liberals want to enact some political reforms, but will also support greater political reform and social reform under conditions of high militancy.;;;;;;;;;;;;;
EVTNAME777791;Concede to Lower Tarrifs;;;;;;;;;;;;;
EVTDESC777791;As the loser of the war we have been forced to lower our tarrifs for 5 years.;;;;;;;;;;;;;
EVT777791OPTA;Lower the tarrifs;;;;;;;;;;;;;
lost_the_tarrif_war;Forced to lower tarrifs;;;;;;;;;;;;;
lost_the_tarrif_war_desc;We have lost the war and been forced to lower our tarrifs as a result;;;;;;;;;;;;;
violate_the_tarrif_treaty_title;Violate the Tarrif Treaty;;;;;;;;;;;;;
violate_the_tarrif_treaty_desc;We have been forced into a humiliating treaty that imposes foreign control over our trade tarrifs. We will regain control, prestige be damned!;;;;;;;;;;;;;
accept_the_portuguese_title;Accept the Portugese;;;;;;;;;;;;;
accept_the_portuguese_desc;Now we have united our peoples, we should also seek to treat the Portuguese as full citizens and equals.;;;;;;;;;;;;;
accept_the_basque_title;Accept the Basque People;;;;;;;;;;;;;
accept_the_basque_desc;We should reconcile our differences with the Basque people and integrate them as full members in our nation. They are our Iberian brothers!;;;;;;;;;;;;;
LEDGER_COUNTRY_NAME;Country;Pays;Land;;Pa?;;;;;;;;;
allow_no_cb_wars_title;§EAllow No CB Wars§!;;;;;;;;;;;;;
allow_no_cb_wars_desc;Our government has managed to convince the populace that we have the right to war for any reason, although the international community is not convinved. Must have jingoism to use this cb.\n§RWill cost 10 infamy when used.§!;;;;;;;;;;;;;
disallow_no_cb_wars_title;§EDisallow No CB Wars§!;;;;;;;;;;;;;
disallow_no_cb_wars_desc;Times have changed, we no longer seek to justify our right to war to our populace.;;;;;;;;;;;;;
EVTNAME777792;Our Republic;;;;;;;;;;;;;
EVTDESC777792;The ideals we have in common, the values we share. These allow us to work together like no other government can. The constitution is our instrument, the instrument of We The People.;;;;;;;;;;;;;
EVTNAME777793;Collapse of our Republic;;;;;;;;;;;;;
EVTDESC777793;Our great Republic has fallen. What once held us together does no longer. Maybe those days will return, but for now they are lost.;;;;;;;;;;;;;
CHI_accept_mongols_title;Our Citizens of Mongolia;;;;;;;;;;;;;
CHI_accept_mongols_desc;The Federation seeks to treat all who live in it as equal citizens. We are one Republic. The Mongos have accepted their membership of the federation, and in turn we should accept them. Birth or culture should stop a Mongolian from being the President!;;;;;;;;;;;;;
CHI_accept_tibetans_title;Our Citizens of Tibet;;;;;;;;;;;;;
CHI_accept_tibetans_desc;The Federation seeks to treat all who live in it as equal citizens. We are one Republic. The Tibetans have accepted their membership of the federation, and in turn we should accept them. Birth or culture should stop a Tibetan from being the President!;;;;;;;;;;;;;
CHI_accept_uighurs_title;Uighur Reconciliation & A United China At Last;;;;;;;;;;;;;
CHI_accept_uighurs_desc;The Uighur's are a core part of China, their religion is as Chinese as any other. Together we prosper, the Uighurs shall be full citizens. China is reborn as we move into the new era a united and free people.;;;;;;;;;;;;;
EVTNAME777794;Koreans Petition for Annexation;;;;;;;;;;;;;
EVTDESC777794;Korea has always been our brother. We have shared history, although our language and cultures diverge. That does not mean our politics must though, and Korean citizens have noticed the advancements in our Federation. While protests occur in Korea, a group of influential Korean political leaders have approached the President asking for Korea to be admitted to the Federation, by force if frustrated by foreign powers. Japan and Russia would be angered by this move, but can we really abandon our Korean brothers crying out for liberty?;;;;;;;;;;;;;
CHI_accept_vietnamese_title;Integrate the Vietnamese;;;;;;;;;;;;;
CHI_accept_vietnamese_desc;Vietnam was once a part of the Chinese Dynasties of old, and now that they are a part of the Federation they are citizens of the new Chinese Republic. Let us treat them as such.;;;;;;;;;;;;;
EVTNAME777795;Massive Industrialisation & Population Boom;;;;;;;;;;;;;
EVTDESC777795;Living conditions are greatly increasing and infant mortality plummeting, this is having a large effect on our population growth.;;;;;;;;;;;;;
EVTOPTA777795;Bring on the new Era!;;;;;;;;;;;;;
eic_become_india_title;To the Indian Union;;;;;;;;;;;;;
eic_become_india_desc;Now that we accept the people of India, perhaps it is time to become one Union with them. Together we rise, free from overseas rule!;;;;;;;;;;;;;
HND_democracy;The Indian Union;;;;;;;;;;;;;
indian_democratic_reforms_title;Reform the Constitution of India;;;;;;;;;;;;;
indian_democratic_reforms_desc;Free at last, we must seek to strengthen our democracy. It is vital to developing our national consciousness.;;;;;;;;;;;;;
HND_claim_tibet_title;Claim Tibet;;;;;;;;;;;;;
HND_claim_tibet_desc;We share much in common with the tibetan people, let us realise that fact and add them to our Union.;;;;;;;;;;;;;
HND_claim_nepal_title;Claim Nepal;;;;;;;;;;;;;
HND_claim_nepal_desc;Long on out northern border, nepal has not always been seen as a full part of India. Let us finally integrate them into the Union.;;;;;;;;;;;;;
HND_accept_tibetans_title;Integrating the Tibetans;;;;;;;;;;;;;
HND_accept_tibetans_desc;Now that Tibet is a state in the Union, their citizens shall be treated as such as well.;;;;;;;;;;;;;
EVTNAME777796;Presidential Decree;;;;;;;;;;;;;
EVTDESC777796;The President has the ability to issue executive orders, but the legislature will be outraged if the President consistently bypasses them. Hence this power can only be used a limited number of times per term. NOTE: This ability is active for on average 2 months.;;;;;;;;;;;;;
EVTNAME777797;Presidential Decree;;;;;;;;;;;;;
EVTDESC777797;The time for executive decree has passed.;;;;;;;;;;;;;
EVTNAME777798;Republican Executive;;;;;;;;;;;;;
EVTDESC777798;The executive system and separation of powers (or lack of) must be decided on in our Constitution.;;;;;;;;;;;;;
EVTNAME777799;Dictatorial Executive;;;;;;;;;;;;;
EVTDESC777799;Our leader and inner circle have no practical restraints on their power from the constitution.;;;;;;;;;;;;;
EVTNAME777800;Decline of Absolutism;;;;;;;;;;;;;
EVTDESC777800;The parliament is gaining power at the expense of the monarchy, our system of government is changing.;;;;;;;;;;;;;
to_limited_funding_title;§EAdvance Research Funding§!;;;;;;;;;;;;;
to_limited_funding_desc;Advances in our nations education and research allow the government to increase funding for research projects, and put more political focus into R&D.;;;;;;;;;;;;;
to_funded_title;§EAdvance Research Funding§!;;;;;;;;;;;;;
to_funded_desc;Advances in our nations education and research allow the government to increase funding for research projects, and put more political focus into R&D.;;;;;;;;;;;;;
to_priority_funded_title;§EAdvance Research Funding§!;;;;;;;;;;;;;
to_priority_funded_desc;Advances in our nations education and research allow the government to increase funding for research projects, and put more political focus into R&D.;;;;;;;;;;;;;
secret_police;Secret Police;;;;;;;;;;;;;
encourage_assimilation;Encourage Assimilation;;;;;;;;;;;;;
infamy_for_immigration_selector_title;§ECommence a Pro-immigration Campaign§!;;;;;;;;;;;;;
infamy_for_immigration_selector_desc;Strongly encourage immigrants to choose us as their destination, this is accomplished via a heavy propaganda campaign, and finanacial incentives such as a free journey.;;;;;;;;;;;;;
infamy_for_immigration_modifier_removal_title;§EEnd the Pro-immigration Campaign§!;;;;;;;;;;;;;
infamy_for_immigration_modifier_removal_desc;End the ongoing campaign to increase the number of immigrants to our lands.;;;;;;;;;;;;;
EVTNAME1998002;Proposed Immigration Campaign;;;;;;;;;;;;;
EVTDESC1998002;We can select the level of campaign we desire, or none at all.;;;;;;;;;;;;;
immigration_pull_low;Low Immigration Boost;;;;;;;;;;;;;
immigration_pull_low_desc;We are encouraging emmigrants to choose us as their destination.;;;;;;;;;;;;;
immigration_pull_high;High Immigration Boost;;;;;;;;;;;;;
immigration_pull_high_desc;We are strongly encouraging emmigrants to choose us as their destination.;;;;;;;;;;;;;
recently_selected_immigration;Recent immigration campaign.;;;;;;;;;;;;;
recently_selected_immigration_desc;We have recently started an immigration campaign and cannot cancel its effects for a while.;;;;;;;;;;;;;
EVTNAME7777902;Birthrate Decrease;;;;;;;;;;;;;
EVTDESC7777902;We are experiencing a delcine in the overall birth rate, no doubt encouraged by the low infant mortality and changing economy.;;;;;;;;;;;;;
minor_bad_planning;Minor Administrative Failure;;;;;;;;;;;;;
bad_planning;Administrative Failure;;;;;;;;;;;;;
extreme_bad_planning;Major Administrative Failure;;;;;;;;;;;;;
EVTOPTA7777902;And so we develop.;;;;;;;;;;;;;
to_warsaw_title;Reinstate our Eastern Claims;;;;;;;;;;;;;
to_warsaw_desc;During the Congress of Vienna we relinquished our Polish claims in return for German land to the west. Now we are in the position to enforce our original claim to these lands, Russians be damned! \n§YIf these lands are lost to Russia, we risk losing our cores§!;;;;;;;;;;;;;
to_the_carpathians_title;Over the Carpathians;;;;;;;;;;;;;
to_the_carpathians_desc;Hungary has many Germans and German brother cultured-people residing in it. We must ensure it is made a full part of the new Reich!;;;;;;;;;;;;;
claim_venezia_title;Reclaim Venezia;;;;;;;;;;;;;
claim_venezia_desc;Restore south German control over Venice.;;;;;;;;;;;;;
german_culture_promotion_title;Promote German Culture;;;;;;;;;;;;;
german_culture_promotion_desc;We will begin a campaign to encourage German culture with german classes for non-german speakers, german festivals, and integration of locals into german politics.;;;;;;;;;;;;;
german_culture;German Cultural Promotion;;;;;;;;;;;;;
german_culture_desc;We are carrying out campaigns to promote our culture;;;;;;;;;;;;;
EVTNAME7777903;Victor Hugo & the Oak of the USE;;;;;;;;;;;;;
EVTDESC7777903;On 14 July 1870 Hugo planted the "oak of the United States of Europe" in the garden of Hauteville House where he stayed during his exile on Guernsey from 1856 to 1870.;;;;;;;;;;;;;
EVTNAME7777904;A day will come,;;;;;;;;;;;;;
EVTDESC7777904;When all nations on our continent will form a European brotherhood. A day will come when we shall see the United States of America and the United States of Europe face to face,;;;;;;;;;;;;;
european_unity;Unity;;;;;;;;;;;;;
european_unity_desc;We are more unified, and willing to stand together.;;;;;;;;;;;;;
burst_of_european_unity;Rush of European Unity;;;;;;;;;;;;;
burst_of_european_unity_desc;We are experiencing a massive rise in European solidarity.;;;;;;;;;;;;;
EVTNAME7777905;To be European;;;;;;;;;;;;;
EVTDESC7777905;We are experiencing a massive rise in European solidarity, people are feeling more European than ever before!;;;;;;;;;;;;;
promoted_european_culture;European Cultural Unity;;;;;;;;;;;;;
african_unciv;African Primitive;;;;;;;;;;;;;
african_unciv_1;African Primitive;;;;;;;;;;;;;
african_unciv_2;African Primitive;;;;;;;;;;;;;
african_unciv_3;African Primitive;;;;;;;;;;;;;
african_unciv_4;African Partially Westernised;;;;;;;;;;;;;
unciv_infamy;Uncivilised;;;;;;;;;;;;;
unciv_infamy_1;Uncivilised;;;;;;;;;;;;;
unciv_infamy_2;Uncivilised;;;;;;;;;;;;;
unciv_infamy_3;Uncivilised;;;;;;;;;;;;;
unciv_infamy_4;Uncivilised;;;;;;;;;;;;;
old_world_war;At War;;;;;;;;;;;;;
barrage_fire;Barrage Fire;;;;;;;;;;;;;
barrage_fire_desc;A barrage is massed sustained artillery fire aimed at a series of points along a line. As well as attacking any enemy in that line, a barrage intends to suppress enemy movement and actions through that line.;;;;;;;;;;;;;
grant_cooldown;§CGrant Cooldown§!;;;;;;;;;;;;;
grant_cooldown_desc;We have recently requested aid;;;;;;;;;;;;;
dutch_accept_walloon_title;Our Walloon Brothers;;;;;;;;;;;;;
dutch_accept_walloon_desc;Our relationship with the Walloon people has always been close, although fraught with tension. It is time we set aside our quarrels and work together on the major challenges facing us, as one.;;;;;;;;;;;;;
recently_requested_trade;Recently requested trade;;;;;;;;;;;;;
recently_requested_trade_desc;We must wait for our negotating team to return;;;;;;;;;;;;;
infamy_grant_cooldown;§CInfamy grant cooldown§!;;;;;;;;;;;;;
infamy_grant_cooldown_desc;We must wait for our diplomatic mission to return;;;;;;;;;;;;;
will_receive_infamy_transfer_title;§YRequest Infamy Transfer§!;;;;;;;;;;;;;
will_receive_infamy_transfer_desc;We are in need of diplomatic aid, let us ask our ally for their public support and stated justifcation on the matter.\n§YOnly countries on your continent, or who are a GP, can recieve this request.§!\n§RNations with more than 25 infamy will not recieve this request.§!;;;;;;;;;;;;;
will_give_infamy_title;§YPermit Infamy Transfers;;;;;;;;;;;;;
will_give_infamy_desc;We will consider the use of our diplomatic abilities to justify the expansions of our allies.;;;;;;;;;;;;;
will_not_give_infamy_title;§YDeny Infamy Transfers§!;;;;;;;;;;;;;
will_not_give_infamy_desc;We will not allow our diplomats to waste their time justifiying the conquests of others.;;;;;;;;;;;;;
prevent_trade_deals_title;§YPrevent recieving trade deals§!;;;;;;;;;;;;;
prevent_trade_deals_desc;We will not recieve any trade deal offers.;;;;;;;;;;;;;
enable_trade_deals_title;§YAllow trade deal proposals§!;;;;;;;;;;;;;
enable_trade_deals_desc;We will recieve trade deal offers.;;;;;;;;;;;;;
unemployment_subsidies;Welfare;;;;;;;;;;;;;
trinket_subsidies;Low Subsidies;;;;;;;;;;;;;
trinket_subsidies_desc;Basic jobseekers allowances are provided by a government agency.;;;;;;;;;;;;;
low_subsidies;Generous Subsidies;;;;;;;;;;;;;
low_subsidies_desc;Standard jobseekers allowances are provided by a government agency.;;;;;;;;;;;;;
acceptable_subsidies;Standard UBI;;;;;;;;;;;;;
acceptable_subsidies_desc;The government provides a small monthly income to all citizens, regardless of their economic situation. This income is guarantteed and paid from the government budget. \n§YMust have admin spending at 75%+ to gain the full effects.\n§RThis reform will be rescinded if a non socialist/communist government is in power!\nMilitarisation is capped to volunteer.§!;;;;;;;;;;;;;
good_subsidies;Advanced UBI;;;;;;;;;;;;;
good_subsidies_desc;A large sum of money is provided to each citizen monthly. This is an unconditional payment and funded by the government budget. \n§YMust have admin spending at 100% to gain the full effects.\n§RThis reform will be rescinded if a non socialist/communist government is in power!\nMilitarisation is capped to volunteer.§!;;;;;;;;;;;;;
EVTNAME7777907;Change in Welfare Policy;;;;;;;;;;;;;
EVTDESC7777907;The party of large tax and large spend is no longer in power, we will now readjust our social spending levels.;;;;;;;;;;;;;
eic_trigger_the_decision_title;Our Future;;;;;;;;;;;;;
eic_trigger_the_decision_desc;We have long been under control from London, and since they seem unwilling to decide our long term future we should seize the opportunity ourselves to make this choice.;;;;;;;;;;;;;
transfer_rp_debuff;RP Debuff;;;;;;;;;;;;;
transfer_rp_debuff_desc;Active as can currently take land from civs as an unciv.;;;;;;;;;;;;;
JAN_1;Norf FC;;;;;;;;;;;;;
PROV3275;Aux-Cayes;;;;;;;;;;;;;
war_exhaustion_10_decay;War Exhaustion Decay: 0-10;;;;;;;;;;;;;
war_exhaustion_20_decay;War Exhaustion Decay: 10-20;;;;;;;;;;;;;
war_exhaustion_30_decay;War Exhaustion Decay: 20-30;;;;;;;;;;;;;
war_exhaustion_40_decay;War Exhaustion Decay: 30-40;;;;;;;;;;;;;
war_exhaustion_50_decay;War Exhaustion Decay: 40-50;;;;;;;;;;;;;
war_exhaustion_60_decay;War Exhaustion Decay: 50-60;;;;;;;;;;;;;
war_exhaustion_70_decay;War Exhaustion Decay: 60-70;;;;;;;;;;;;;
war_exhaustion_80_decay;War Exhaustion Decay: 70-80;;;;;;;;;;;;;
war_exhaustion_90_decay;War Exhaustion Decay: 80-90;;;;;;;;;;;;;
war_exhaustion_100_decay;War Exhaustion Decay: 90-100;;;;;;;;;;;;;
taxation_increased;Total War Taxation;;;;;;;;;;;;;
EVTNAME970701;A New Prince?;;;;;;;;;;;;;
EVTDESC970701;Our president is a monarchist, and whilst he has agreed to the status quo, we could take the initiative and request for a prince of spanish decent to take our throne.;;;;;;;;;;;;;
EVTOPT970701A;No. The status quo suits us well. We will not suffer the rule of a Spanish king once more.;;;;;;;;;;;;;
EVTOPT970701B;Yes. Let us reach out to Spain and get oursleves a new King!;;;;;;;;;;;;;
relax_colonial_immigration_restrictions_title;§ERelax Colonial Immigration Restrictions§!;;;;;;;;;;;;;
relax_colonial_immigration_restrictions_desc;We can relax our laws regarding immigration from the colonies, this will provide us with more workers and future citizens, althouth the more conservative and reactionary elements of our nation will not be happy. NOTE: This allows migration from colonies to states, limited to half the base rate of migration. This modifier will be removed if the conditions required to take it are no longer met.;;;;;;;;;;;;;
increased_migration_to_states;Relaxed Colonial Immigration Laws;;;;;;;;;;;;;
EVTNAME7777908;Colonial Immigration Restricted;;;;;;;;;;;;;
EVTDESC7777908;The government has deemed it appropriate to restrict immigration from the colonies. Colonial pops will not migrate to states.;;;;;;;;;;;;;
EVTOPTA7777908;Have we chosen correctly?;;;;;;;;;;;;;
base_strike;Base Strike;;;;;;;;;;;;;
base_strike_desc;An aircraft carrier is a warship that serves as a seagoing airbase, equipped with a full-length flight deck and facilities for carrying, arming, deploying, and recovering aircraft.;;;;;;;;;;;;;
mountain_warfare;Mountain Warfare;;;;;;;;;;;;;
mountain_warfare_desc;Mountain ranges are of strategic importance since they often act as a natural border, and may also be the origin of a water source. Attacking a prepared enemy position in mountain terrain requires a greater ratio of attacking soldiers to defending soldiers than a war conducted on level ground.;;;;;;;;;;;;;
bankruptcy_events_disabled;Disables Bankruptcy Events;;;;;;;;;;;;;
stop_bankrupt_events_title;§CStop Bankruptcy Events§!;;;;;;;;;;;;;
stop_bankrupt_events_desc;Prevent bankruptcy events from appearing. (Can re-enable);;;;;;;;;;;;;
allow_bankrupt_events_title;§CAllow Bankruptcy Events§!;;;;;;;;;;;;;
allow_bankrupt_events_desc;Allow bankruptcy events to appear.;;;;;;;;;;;;;
the_white_tzar_title;The White Tzar;;;;;;;;;;;;;
the_white_tzar_desc;Due to our influence over Tibet we can now free them from the clasp of the Qing, although this will reinforce Chinese claims to the region and anger the British who may respond.;;;;;;;;;;;;;
EVTNAME7777909;The Bear in Tibet;;;;;;;;;;;;;
EVTDESC7777909;Russia has snaked its way into the government of Tibet, we cannot allow this to stand! Force of arms will be considered.;;;;;;;;;;;;;
EVT7777909OPTA;To arms it is;;;;;;;;;;;;;
EVT7777909OPTB;We cannot act this time;;;;;;;;;;;;;
GC_DESC;The world is entering a new era: new politcs, new industry, new weapons of war, and new unions. A grand century for some, and misery for others, is approaching. How will you and your people fare?;;;;;;;;;;;;;
MILITARY_PERSONALITY;-;;;;;;;;;;;;;
MILITARY_BACKGROUND;-;;;;;;;;;;;;;
UV_PERSONALITY;$VAL$;Personnalité : $VAL$;Persönlichkeit: $VAL$;;Personalidad: $VAL$;;;;;;;;;
UV_BACKGROUND;$VAL$;Caractéristique : $VAL$;Hintergrund: $VAL$;;Historial: $VAL$;;;;;;;;;
UV_PERSONALITY_LABEL;Defence;Personnalité;Persönlichkeit;;Personalidad;;;;;;;;;
UV_BACKGROUND_LABEL;Attack;Caractéristique;Hintergrund;;Marco histórico;;;;;;;;;
EVTNAME7777910;Campaign Setup;;;;;;;;;;;;;
EVTDESC7777910;Choosing multiplayer will allow the multiplayer only decisions and events;;;;;;;;;;;;;
EVTOPTA7777910;Singleplayer;;;;;;;;;;;;;
EVTOPTB7777910;Multiplayer;;;;;;;;;;;;;
hide_army_stacks_title;§CHide the armies§!;;;;;;;;;;;;;
hide_army_stacks_desc;Hide all the decisions that allow army stack creation. NOTE: To use the built armies, group the new units together and they will function as usual.;;;;;;;;;;;;;
show_army_stacks_title;§CShow the armies§!;;;;;;;;;;;;;
show_army_stacks_desc;Show all the decisions that allow army stack creation. NOTE: To use the built armies, group the new units together and they will function as usual.;;;;;;;;;;;;;
early_4_1_5_stack_title;§CEarly 4/1/5 Army§!;;;;;;;;;;;;;
early_4_1_5_stack_desc;Construct an army of 4 infantry, 1 hussar, and 5 artillery in the capital. Will consume the same amount of goods as if built manually.;;;;;;;;;;;;;
early_1_5_mob_title;§CEarly 1/5 Mob Army§!;;;;;;;;;;;;;
early_1_5_mob_desc;Construct an army of 1 hussar and 5 artillery in the capital. Will consume the same amount of goods as if built manually.;;;;;;;;;;;;;
late_1_4_mob_title;§CLate 1/4 Mob Army§!;;;;;;;;;;;;;
late_1_4_mob_desc;Construct an army of 1 plane and 4 artillery in the capital. Will consume the same amount of goods as if built manually.;;;;;;;;;;;;;
OCE_democracy;Oceania;;;;;;;;;;;;;
OCE_absolute_monarchy;Empire of Oceania;;;;;;;;;;;;;
OCE_prussian_constitutionalism;Empire of Oceania;;;;;;;;;;;;;
OCE_hms_government;Oceania;;;;;;;;;;;;;
OCE_presidential_dictatorship;Oceania;;;;;;;;;;;;;
OCE_bourgeois_dictatorship;Free Oceania;;;;;;;;;;;;;
OCE_proletarian_dictatorship;The People of Oceania;;;;;;;;;;;;;
OCE_fascist_dictatorship;The Oceanic State;;;;;;;;;;;;;
OCE_ADJ;Oceanian;;;;;;;;;;;;;
form_oceania_title;Found Oceania;;;;;;;;;;;;;
form_oceania_desc;Our hegemony over the Oceanic region allows us to establish the new Oceanic Union. We will prosper together!;;;;;;;;;;;;;
claim_papua_new_guinea_title;Claim New Guinea;;;;;;;;;;;;;
claim_papua_new_guinea_desc;Situated just to our north the empty lands in the East of New Guinea can be claimed by our government as our rightful domain.;;;;;;;;;;;;;
claim_java_title;Claim Java;;;;;;;;;;;;;
claim_java_desc;Although Java is already claimed by others, that does not stop us asserting our rightful control over the Island. They are part of Oceania like us.;;;;;;;;;;;;;
claim_oceanic_islands_title;Claim Oceanic Islands;;;;;;;;;;;;;
claim_oceanic_islands_desc;To ensure our areas of economic and military power projection, we must have control over the surrounding islands and chains.;;;;;;;;;;;;;
