Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
iron_3_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_4_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_5_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_6_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_7_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_8_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_9_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_10_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_11_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_12_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_13_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_14_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_15_settlement_title;iron Settlement;;;;;;;;;;;;;
iron_1_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_2_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_3_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_4_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_5_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_6_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_7_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_8_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_9_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_10_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_11_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_12_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_13_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_14_settlement_desc;Settle the iron.;;;;;;;;;;;;;
iron_15_settlement_desc;Settle the iron.;;;;;;;;;;;;;
sulphur_1_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_2_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_3_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_4_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_5_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_6_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_7_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_8_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_9_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_10_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_11_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_12_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_13_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_14_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_15_settlement_title;sulphur Settlement;;;;;;;;;;;;;
sulphur_1_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_2_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_3_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_4_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_5_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_6_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_7_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_8_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_9_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_10_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_11_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_12_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_13_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_14_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
sulphur_15_settlement_desc;Settle the sulphur.;;;;;;;;;;;;;
timber_1_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_2_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_3_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_4_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_5_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_6_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_7_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_8_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_9_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_10_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_11_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_12_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_13_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_14_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_15_settlement_title;timber Settlement;;;;;;;;;;;;;
timber_1_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_2_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_3_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_4_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_5_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_6_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_7_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_8_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_9_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_10_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_11_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_12_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_13_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_14_settlement_desc;Settle the timber.;;;;;;;;;;;;;
timber_15_settlement_desc;Settle the timber.;;;;;;;;;;;;;
cotton_1_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_2_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_3_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_4_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_5_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_6_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_7_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_8_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_9_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_10_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_11_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_12_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_13_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_14_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_15_settlement_title;cotton Settlement;;;;;;;;;;;;;
cotton_1_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_2_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_3_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_4_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_5_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_6_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_7_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_8_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_9_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_10_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_11_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_12_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_13_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_14_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
cotton_15_settlement_desc;Settle the cotton.;;;;;;;;;;;;;
dye_1_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_2_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_3_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_4_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_5_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_6_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_7_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_8_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_9_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_10_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_11_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_12_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_13_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_14_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_15_settlement_title;dye Settlement;;;;;;;;;;;;;
dye_1_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_2_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_3_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_4_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_5_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_6_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_7_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_8_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_9_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_10_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_11_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_12_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_13_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_14_settlement_desc;Settle the dye.;;;;;;;;;;;;;
dye_15_settlement_desc;Settle the dye.;;;;;;;;;;;;;
silk_1_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_2_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_3_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_4_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_5_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_6_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_7_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_8_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_9_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_10_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_11_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_12_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_13_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_14_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_15_settlement_title;silk Settlement;;;;;;;;;;;;;
silk_1_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_2_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_3_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_4_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_5_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_6_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_7_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_8_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_9_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_10_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_11_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_12_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_13_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_14_settlement_desc;Settle the silk.;;;;;;;;;;;;;
silk_15_settlement_desc;Settle the silk.;;;;;;;;;;;;;
tropical_wood_1_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_2_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_3_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_4_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_5_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_6_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_7_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_8_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_9_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_10_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_11_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_12_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_13_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_14_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_15_settlement_title;tropical_wood Settlement;;;;;;;;;;;;;
tropical_wood_1_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_2_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_3_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_4_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_5_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_6_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_7_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_8_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_9_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_10_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_11_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_12_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_13_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_14_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
tropical_wood_15_settlement_desc;Settle the tropical_wood.;;;;;;;;;;;;;
opium_1_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_2_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_3_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_4_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_5_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_6_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_7_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_8_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_9_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_10_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_11_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_12_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_13_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_14_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_15_settlement_title;opium Settlement;;;;;;;;;;;;;
opium_1_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_2_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_3_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_4_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_5_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_6_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_7_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_8_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_9_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_10_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_11_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_12_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_13_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_14_settlement_desc;Settle the opium.;;;;;;;;;;;;;
opium_15_settlement_desc;Settle the opium.;;;;;;;;;;;;;
rubber_1_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_2_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_3_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_4_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_5_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_6_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_7_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_8_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_9_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_10_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_11_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_12_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_13_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_14_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_15_settlement_title;rubber Settlement;;;;;;;;;;;;;
rubber_1_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_2_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_3_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_4_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_5_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_6_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_7_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_8_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_9_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_10_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_11_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_12_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_13_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_14_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
rubber_15_settlement_desc;Settle the rubber.;;;;;;;;;;;;;
