Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
no_military_constructions_desc;Fortifications are built in our traditional way or not built at all.;;;;;;;;;;;;;
yes_military_constructions_desc;Forts are built in the western style and their construction is supervised by foreigners.;;;;;;;;;;;;;
foreign_training_two;Foreign Tactics;;;;;;;;;;;;;
foreign_training_two_desc;Our troops learn western military tactics before going into battle;;;;;;;;;;;;;
foreign_weapons_two;Advanced Foreign Weapons;;;;;;;;;;;;;
foreign_weapons_two_desc;Our BOOMSTICKS are better!;;;;;;;;;;;;;
military_constructions_two;Advanced Fortifications;;;;;;;;;;;;;
military_constructions_two_desc;Our forts are modern and more defensible ;;;;;;;;;;;;;
foreign_officers_two;Domestic Officer Training;;;;;;;;;;;;;
foreign_officers_two_desc;Our own officers will now lead our troops!;;;;;;;;;;;;;
army_schools_two;Military Academies;;;;;;;;;;;;;
army_schools_two_desc;Our offcers are instructed in advanced military tactics before leading men into battle;;;;;;;;;;;;;
foreign_naval_officers_two;Domestic Naval Officers;;;;;;;;;;;;;
foreign_naval_officers_two_desc;Our captains lead without foreign advisors;;;;;;;;;;;;;
naval_schools_two;Naval Academies;;;;;;;;;;;;;
naval_schools_two_desc;Our captains are instructed in advanced naval tactics before leading men into battle;;;;;;;;;;;;;
foreign_navies_two;Advanced Warships;;;;;;;;;;;;;
foreign_navies_two_desc;We can construct our own modern warships;;;;;;;;;;;;;
western_shipyards_two;Advanced Shipyards;;;;;;;;;;;;;
western_shipyards_two_desc;With the help of further foreign investment we are able to construct even more advanced shipyards.;;;;;;;;;;;;;
pre_indust_two;Organized Factories;;;;;;;;;;;;;
pre_indust_two_desc;Our factories organization and production line efficiency has been greatly improved.;;;;;;;;;;;;;
vassal_interactions_title;§EOpen Vassal Interactions Menu§!;;;;;;;;;;;;;
vassal_interactions_desc;This decision fires an event which will allow you to free or return cores to your vassals.;;;;;;;;;;;;;
accepts_south_german;South German Accepted;;;;;;;;;;;;;
accepts_north_german;North German Accepted;;;;;;;;;;;;;
accepts_south_italian;South Italian Accepted;;;;;;;;;;;;;
accepts_north_italian;North Italian Accepted;;;;;;;;;;;;;
marked_for_colonization;Marked for Colonization;;;;;;;;;;;;;
costs_of_colonization;Colonization Costs;;;;;;;;;;;;;
costs_of_colonization_desc;We have recently made one of our states into a colony.;;;;;;;;;;;;;
current_colonization;Active Colonization;;;;;;;;;;;;;
mark_as_colony;Mark as Colony;;;;;;;;;;;;;
colonize_deez_nuts_title;§ESwitch State to Colony§!;;;;;;;;;;;;;
colonize_deez_nuts_desc;This decision will allow you to switch states marked with the "Mark as Colony" focus to colonies.\n§RYou must wait for a month to tick before the national focus takes effect!§W;;;;;;;;;;;;;
POP_DAILY_EVENT;Stimulus Payment §YS0.3/0.9§!;;;;;;;;;;;;;
slow_assim_modifier;§RExtremely Slow Assimilation§!;;;;;;;;;;;;;
slow_assim_modifier_desc;You suck! Remove serfdom and slavery to get rid of this modifier.;;;;;;;;;;;;;
slow_assim_modifier_2;§RSlowed Assimilation§!;;;;;;;;;;;;;
slow_assim_modifier_2_desc;Having colonies makes assimilation harder.;;;;;;;;;;;;;
