Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
install_radical_democracy_short;Enforce republic on $RECIPIENT$;;;;;;;;;;;;;
install_radical_democracy_desc;Establish a republic on a non-republican bordering nation.;;;;;;;;;;;;;
install_radical_democracy_setup;Enforce Republican Government;;;;;;;;;;;;;
NORMAL_RADICAL_DEMOCRACY_WAR_NAME;$ORDER$$FIRST$ Establishment of $SECOND$ Democracy;;;;;;;;;;;;;
AGRESSION_RADICAL_DEMOCRACY_WAR_NAME;$ORDER$$FIRST$ Establishment of $SECOND$ Democracy;;;;;;;;;;;;;
stop_med_tolls;End the Tolls;;;;;;;;;;;;;
stop_med_tolls_short;Revoke the tolls of $RECIPIENT$;;;;;;;;;;;;;
stop_med_tolls_desc;Prevent the offending nation from levying tolls across the Mediterranean Strait;;;;;;;;;;;;;
stop_med_tolls_setup;Break the Mediterranean tolls;;;;;;;;;;;;;
NORMAL_WAR_REVOKE_TOLLS_NAME;$ORDER$$FIRST$ Revocation of $SECOND$ Tolls;;;;;;;;;;;;;
AGRESSION_WAR_REVOKE_TOLLS_NAME;$ORDER$$FIRST$ Revocation of $SECOND$ Tolls;;;;;;;;;;;;;
demand_colony_for_allies;Demand Colony for Ally;;;;;;;;;;;;;
demand_colony_for_allies_short;Acquire and transfer $STATE$;;;;;;;;;;;;;
demand_colony_for_allies_desc;Conquer and transfer an enemy §Ycolonial state§! to an ally;;;;;;;;;;;;;
demand_colony_for_allies_setup;Acquire colony $STATE$ from $RECIPIENT$ and transfer to an ally;;;;;;;;;;;;;
NORMAL_WAR_DEMAND_COLONY_ALLY_NAME;$ORDER$$FIRST$ - $COUNTRY_ADJ$ Colonial Conquest of $STATE$;;;;;;;;;;;;;
AGRESSION_WAR_DEMAND_COLONY_ALLY_NAME;$ORDER$$FIRST$ Conquest on behalf of $THIRD$;;;;;;;;;;;;;
demand_state_for_allies;Demand State for Ally;;;;;;;;;;;;;
demand_state_for_allies_short;Acquire and transfer $STATE$;;;;;;;;;;;;;
demand_state_for_allies_desc;Conquer and transfer an enemy §Ystate§! to an ally;x ;;;;;;;;;;;;
demand_state_for_allies_setup;Acquire $STATE$ from $RECIPIENT$ and transfer to an ally;;;;;;;;;;;;;
NORMAL_WAR_DEMAND_STATE_ALLY_NAME;$ORDER$$FIRST$ - $COUNTRY_ADJ$ Conquest of $STATE$;;;;;;;;;;;;;
AGRESSION_WAR_DEMAND_STATE_ALLY_NAME$ORDER$$FIRST$ - $COUNTRY_ADJ$ Conquest of $STATE$;;;;;;;;;;;;;;
demand_capital_for_allies;Demand Capital for Ally;;;;;;;;;;;;;
demand_capital_for_allies_short;Acquire and transfer capital $STATE$;;;;;;;;;;;;;
demand_capital_for_allies_desc;Conquer and transfer an enemy §Ycapital§! to an ally;;;;;;;;;;;;;
demand_capital_for_allies_setup;Acquire capital $STATE$ from $RECIPIENT$ and transfer to an ally;;;;;;;;;;;;;
NORMAL_WAR_DEMAND_CAPITAL_ALLY_NAME;$ORDER$$FIRST$ - $COUNTRY_ADJ$ Capital Conquest of $STATE$;;;;;;;;;;;;;
AGRESSION_WAR_DEMAND_CAPITAL_ALLY_NAME;$ORDER$$FIRST$ - $COUNTRY_ADJ$ Capital Conquest of $STATE$;;;;;;;;;;;;;
third_party_transfer;Negotiated State Transfer (3rd Party);;;;;;;;;;;;;
third_party_transfer_desc;Transfer a state or colonial region from the 1st country to the 2nd country with no effect on infamy, prestige, or jingoism and without a truce at the end;;;;;;;;;;;;;
third_party_transfer_short;Transfer $STATE$ to an ally;;;;;;;;;;;;;
third_party_transfer_setup;Transfer $STATE$ from $RECIPIENT$ to an ally;;;;;;;;;;;;;
NORMAL_WAR_THIRD_TRANSFER_NAME;$ORDER$$SECOND$ - $COUNTRY_ADJ$ Transfer of $STATE$;;;;;;;;;;;;;
AGRESSION_WAR_THIRD_TRANSFER_NAME;$ORDER$$SECOND$ - $COUNTRY_ADJ$ Transfer of $STATE$;;;;;;;;;;;;;
install_absolute_monarchy;Install Monarchy;;;;;;;;;;;;;
install_absolute_monarchy_desc;Convert a non-monarchy to an absolute monarchy;;;;;;;;;;;;;
install_absolute_monarchy_short;Enforce a monarchical government on $RECIPIENT$;;;;;;;;;;;;;
install_absolute_monarchy_setup;Militarily overthrow the government of $RECIPIENT$, installing a new absolutist regime in its place;;;;;;;;;;;;;
NORMAL_ABSOLUTE_MONARCHY_WAR_NAME;$ORDER$$FIRST$ Establishment of the $SECOND$ Monarchy;;;;;;;;;;;;;
AGRESSION_ABSOLUTE_MONARCHY_WAR_NAME;$ORDER$$FIRST$ Establishment of the $SECOND$ Monarchy;;;;;;;;;;;;;
fake_war_cb;Fake War;;;;;;;;;;;;;
fake_war_cb_desc;Virtual war to control puppet units;;;;;;;;;;;;;
fake_war_cb_short;Allow $RECIPIENT$ to control puppet units;;;;;;;;;;;;;
fake_war_cb_setup;Enable the target to regain control over puppet units;;;;;;;;;;;;;
NORMAL_WAR_FAKE_NAME;Fake War to allow control of $FIRST$ puppet units;;;;;;;;;;;;
AGRESSION_WAR_FAKE_NAME;Fake War to allow control of $FIRST$ puppet units;;;;;;;;;;;;;
additional_great_war_penalty_cb;Lower Militarisation;;;;;;;;;;;;;
additional_great_war_penalty_cb_desc;Force a §Ycountry§! to lower their militarisation by one level.;;;;;;;;;;;;;
additional_great_war_penalty_cb_short;Force a §Ycountry§! to lower their militarisation a level.;;;;;;;;;;;;;
additional_great_war_penalty_cb_setup;Force a §Ycountry§! to lower their militarisation by one level. Each time this CB is applied, the militarisation level will be lowered.;;;;;;;;;;;;;
mexican_american_war;Manifest Destiny;;;;;;;;;;;;;
mexican_american_war_desc;Acquire a contested §Ystate§! between Mexico and the USA;;;;;;;;;;;;;
mexican_american_war_short;Acquire $STATE$;;;;;;;;;;;;;
mexican_american_war_setup;Select a §Ystate§! in the list on the right\n§YWill give instant cores on conquered states\nRemoves enemy cores§!;;;;;;;;;;;;;
NORMAL_WAR_MEXICAN_AMERICAN_NAME;The $ORDER$Mexican-American War;;;;;;;;;;;;;
AGRESSION_WAR_MEXICAN_AMERICAN_NAME;The $ORDER$Mexican-American War;;;;;;;;;;;;;
separate_truce;Separate Truce;;;;;;;;;;;;;
separate_truce_desc;Use this CB to gain a §Yseparate 5 year truce§! with the enemy alliance.;;;;;;;;;;;;;
separate_truce_short;Apply a 5 year truce.;;;;;;;;;;;;;
separate_truce_setup;Apply a truce of §Y5 years§!;;;;;;;;;;;;;
