Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
accept_trade_deal_12_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_12_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_13_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_13_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_14_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_14_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_15_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_15_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_16_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_16_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_17_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_17_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_18_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_18_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_19_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_19_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_20_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_20_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_21_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_21_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_22_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_22_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_23_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_23_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_24_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_24_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_25_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_25_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_26_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_26_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_27_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_27_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_28_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_28_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_29_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_29_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
accept_trade_deal_30_title;§YAccept Trade Deal§!;;;;;;;;;;;;;
accept_trade_deal_30_desc;If we enter into a trade deal with the chosen country, we will get a decision that allows us to send goods from our stockpile to our trading partner.;;;;;;;;;;;;;
cancel_trade_agreements_1_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_1_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_2_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_2_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_3_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_3_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_4_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_4_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_5_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_5_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_6_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_6_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_7_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_7_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_8_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_8_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_9_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_9_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_10_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_10_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_11_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_11_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_12_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_12_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_13_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_13_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_14_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_14_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_15_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_15_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_16_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_16_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_17_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_17_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_18_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_18_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_19_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_19_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_20_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_20_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_21_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_21_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_22_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_22_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_23_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_23_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_24_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_24_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_25_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_25_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_26_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_26_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_27_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_27_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_28_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_28_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_29_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_29_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
cancel_trade_agreements_30_title;§YCancel Trade Agreement§!;;;;;;;;;;;;;
cancel_trade_agreements_30_desc;By cancelling our current trade agreement, we are free to enter into a new a trade agreement with another country.;;;;;;;;;;;;;
