From;To;Type;Through;Data;Comment
1552;2617;sea;;0;The Amur River
1553;2617;sea;;0;The Amur River
1553;1085;sea;;0;The Amur River
1553;1081;sea;;0;The Amur River
1553;1079;sea;;0;The Amur River
1002;1079;sea;;0;The Amur River
1479;1620;sea;;0;The Yalu River
1555;1620;sea;;0;The Yalu River
1555;1623;sea;;0;The Yalu River
1555;1622;sea;;0;The Tumen River
1554;1622;sea;;0;The Tumen River
1082;1622;sea;;0;The Tumen River
742;731;sea;;0;The Po River
742;730;sea;;0;The Po River
742;728;sea;;0;The Po River
739;728;sea;;0;The Po River
738;726;sea;;0;The Po River
738;728;sea;;0;The Po River
723;726;sea;;0;The Po River
378;376;sea;;0;The Rhine River
380;377;sea;;0;The Rhine River
379;377;sea;;0;The Rhine River
379;382;sea;;0;The Rhine River
577;581;sea;;0;The Rhine River
577;3265;sea;;0;The Rhine River
577;578;sea;;0;The Rhine River
575;578;sea;;0;The Rhine River
575;2561;sea;;0;The Rhine River
574;579;sea;;0;The Rhine River
574;565;sea;;0;The Rhine River
570;565;sea;;0;The Rhine River
570;2560;sea;;0;The Rhine River
571;569;sea;;0;The Rhine River
571;586;sea;;0;The Rhine River
409;586;sea;;0;The Rhine River
409;587;sea;;0;The Rhine River
410;587;sea;;0;The Rhine River
604;587;sea;;0;The Rhine River
603;588;sea;;0;The Rhine River
239;56;sea;;0;The Saint Lawrence
66;56;sea;;0;The Saint Lawrence
66;58;sea;;0;The Saint Lawrence
66;64;sea;;0;The Saint Lawrence
66;65;sea;;0;The Saint Lawrence
67;65;sea;;0;The Saint Lawrence
1288;1222;sea;;0;The Indus River
1289;1222;sea;;0;The Indus River
1289;1221;sea;;0;The Indus River
1288;1221;sea;;0;The Indus River
1288;1219;sea;;0;The Indus River
1218;1219;sea;;0;The Indus River
1218;1217;sea;;0;The Indus River
1218;1216;sea;;0;The Indus River
1223;1216;sea;;0;The Indus River
1223;1210;sea;;0;The Indus River
1225;1210;sea;;0;The Indus River
1225;1224;sea;;0;The Indus River
1226;1224;sea;;0;The Indus River
1226;1235;sea;;0;The Indus River
1567;1570;sea;;0;The Yellow River
1568;1570;sea;;0;The Yellow River
1568;1563;sea;;0;The Yellow River
1568;1515;sea;;0;The Yellow River
1564;1515;sea;;0;The Yellow River
1508;1515;sea;;0;The Yellow River
1508;1511;sea;;0;The Yellow River
1510;1511;sea;;0;The Yellow River
1510;1575;sea;;0;The Yellow River
1562;1575;sea;;0;The Yellow River
1562;2062;sea;;0;The Yellow River
1562;1559;sea;;0;The Yellow River
1537;1541;sea;;0;The Yangtze River
1544;1541;sea;;0;The Yangtze River
1544;1543;sea;;0;The Yangtze River
2221;1477;sea;;0;The Yangtze River
2221;1543;sea;;0;The Yangtze River
1475;1477;sea;;0;The Yangtze River
1475;1474;sea;;0;The Yangtze River
1471;1474;sea;;0;The Yangtze River
1471;1470;sea;;0;The Yangtze River
1549;1470;sea;;0;The Yangtze River
1549;1518;sea;;0;The Yangtze River
1522;1518;sea;;0;The Yangtze River
1522;1516;sea;;0;The Yangtze River
1528;1516;sea;;0;The Yangtze River
1528;1520;sea;;0;The Yangtze River
1528;1525;sea;;0;The Yangtze River
1528;1521;sea;;0;The Yangtze River
138;2149;sea;;0;The Rio Grande River
138;2147;sea;;0;The Rio Grande River
136;2147;sea;;0;The Rio Grande River
136;2144;sea;;0;The Rio Grande River
136;2143;sea;;0;The Rio Grande River
105;2662;sea;;0;The Rio Grande River
105;2148;sea;;0;The Rio Grande River
103;108;sea;;0;The Rio Grande River
103;109;sea;;0;The Rio Grande River
236;55;sea;;0;The Lake Erie
173;54;sea;;0;The Lake Erie
139;141;sea;;0;The Mississippi River
140;3252;sea;;0;The Mississippi River
192;142;sea;;0;The Mississippi River
193;142;sea;;0;The Mississippi River
193;144;sea;;0;The Mississippi River
193;143;sea;;0;The Mississippi River
189;143;sea;;0;The Mississippi River
189;148;sea;;0;The Mississippi River
187;148;sea;;0;The Mississippi River
168;148;sea;;0;The Mississippi River
167;146;sea;;0;The Mississippi River
1752;1751;sea;;0;The Nile River
1751;1746;sea;;0;The Nile River
1746;1755;sea;;0;The Nile River
1755;1749;sea;;0;The Nile River
1749;1745;sea;;0;The Nile River
1745;1750;sea;;0;The Nile River
1759;1763;sea;;0;The Nile River
1765;1763;sea;;0;The Nile River
1772;1763;sea;;0;The Nile River
1772;1764;sea;;0;The Nile River
1772;1762;sea;;0;The Nile River
1772;2559;sea;;0;The Nile River
1760;1764;sea;;0;The Nile River
1760;1762;sea;;0;The Nile River
1760;2559;sea;;0;The Nile River
1760;1769;sea;;0;The Nile River
1770;1769;sea;;0;The Nile River
1770;1767;sea;;0;The Nile River
1761;1767;sea;;0;The Nile River
1761;1768;sea;;0;The Nile River
1761;1766;sea;;0;The Nile River
1771;1768;sea;;0;The Nile River
1771;1766;sea;;0;The Nile River
1836;1835;sea;;0;The Nile River
1836;1837;sea;;0;The Nile River
2564;1835;sea;;0;The Nile River
1806;1835;sea;;0;The Nile River
1806;1837;sea;;0;The Nile River
1838;1827;sea;;0;The Nile River
1838;1831;sea;;0;The Nile River
1840;1831;sea;;0;The Nile River
1840;1832;sea;;0;The Nile River
1829;1837;sea;;0;The Nile River
1828;1827;sea;;0;The Nile River
1831;1830;sea;;0;The Nile River
1844;1843;sea;;0;The Nile River
1844;1845;sea;;0;The Nile River
1844;1847;sea;;0;The Nile River
1846;1845;sea;;0;The Nile River
1846;1998;sea;;0;The Nile River
1846;1847;sea;;0;The Nile River
2021;2022;sea;;0;The Nile River
2021;1998;sea;;0;The Nile River
2021;1997;sea;;0;The Nile River
2019;2020;sea;;0;The Nile River
2019;2023;sea;;0;The Nile River


#
# American Straits
#
13;14;sea;3011;0;Vancouver Crossing
14;78;sea;3011;0;Vancouver Crossing
62;75;sea;2946;0;Straits of Belle Isle
68;70;sea;2944;0;Cabot Strait
2237;2269;sea;2975;0;Strait of Trinidad
2334;2335;sea;2992;0;Strait of Magellan
2399;2400;sea;2992;0;Strait of Magellan
77;74;sea;2944;0;Cabot Strait
72;73;sea;2944;0;Nova Scotia to Cape Breton
2212;2215;sea;2969;0;Cuba-Haiti Strait
2214;2222;sea;2974;0;Puerto Rico-Haiti Strait
2237;2238;sea;2975;0;Trinidad-Tobago Strait
2233;2409;sea;2975;0;Grenada-St. Vincent Strait
2229;2409;sea;2975;0;Barbados-St. Vincent Strait
2231;2409;sea;2975;0;St. Lucia-St. Vincent Strait
2231;2228;sea;2976;0;St. Lucia-Martinique Strait #- STOP IT UK
2232;2228;sea;2976;0;Dominica-Martinique Strait #- STOP IT UK
2232;2230;sea;2976;0;Dominica-Guadeloupe Strait #- STOP IT UK
2225;2230;sea;2976;0;Montserrat-Guadeloupe Strait #- STOP IT UK
2225;2224;sea;2976;0;Montserrat-Antigua Strait
2225;2227;sea;2976;0;Montserrat-St. Kitts Strait
2236;3246;sea;2976;0;St. Martin-St. Barths Strait
2236;2227;sea;2976;0;Philipsburg-St Kits
2227;3246;sea;2976;0;St. Kitts-St. Barths Strait
2223;2226;sea;2976;0;St. Thomas-Tortola Strait
2226;2222;sea;2976;0;Puerto Rico-Tortola Strait
2226;45;sea;2976;0;Tortola-Marigot
2219;2220;sea;2977;0;Bahamas-Turks & Caicos Strait
2204;2206;sea;3001;0;Panama strait

#
# African Straits
#
2036;2048;sea;2901;0;Zanzibar Strait
2123;2124;sea;2902;0;Comoros-Mayotte
1772;1757;sea;2781;0;Suez strait
1412;1875;sea;2783;0;Aden Strait

#
# European Straits
#
254;271;sea;2737;0;Irish Strait
324;348;sea;2706;0;Aland Strait #Uppsala to Aland #these were in V1
334;372;sea;0;0;Öresund
335;374;sea;2710;0;Bornholmsfärjan
348;345;sea;2706;0;Aland Strait #Aland to Turku 
353;349;sea;2709;0;Öselsund
353;358;sea;2709;0;Strait of Riga
372;373;sea;0;0;Fyn-Sjaelland
371;373;sea;0;0;Fyn-Jylland
2557;373;sea;0;0;Fyn-Esbjerg
375;385;sea;2722;0;Bay of Holland
473;766;sea;2751;0;Sassari Strait
826;824;sea;2764;0;Corfu Strait
826;853;sea;2764;0;Corfu Strait
838;845;sea;2772;0;Cyclades Strait
838;834;sea;2772;0;Athens - Khakhis Strait
843;869;sea;2772;0;Izmir Strait
859;865;sea;2773;0;Dardanelles Strait
860;861;sea;0;0;Golden Horn
759;763;sea;0;0;Strait of Messina
837;827;sea;2765;0;Ionian Islands Strait
966;1049;sea;2776;0;Strait of Azov
512;1687;sea;0;0;Strait of Gibraltar - Cadiz to Tetouan
331;332;sea;2710;0;Gotland Strait
846;872;sea;2771;0;Dodecanese Strait
844;865;sea;2772;0;Myteline Strait
#271;304;sea;2737;0;Irish Strait - (was land not sea for UFB name to show correctly)
271;304;impassable;0;0;Irish Strait - (now impassable to fix name and not have walkable connection)
267;1724;sea;2735;0;Inverness - Orkney Strait
780;782;land;2762;0;Mostar Bay
301;401;sea;2724;0;Straits of Dover

#
# Asian Straits
#

#1632;2589;sea;2829;0;Pusan - Tshushima Strait
#1661;2589;sea;2829;0;Nagasaki - Tshushima Strait
1540;1538;sea;2826;0;Nantong - Shanghai through the Yantze River
1540;1539;sea;2826;0;Nantong - Suzhou through the Yantze River
1541;1539;sea;2826;0;Tongzhou - Suzhou through the Yantze River
1452;1454;sea;2856;0;Biak - Merah Strait
2406;1485;sea;2825;0;Penghu - Taiwan Strait
#2406;1484;sea;2825;0;Quangzhou - Taiwan Strait
#1662;1679;sea;2845;0;Ryukyu Islands Strait
#2562;1678;sea;2846;0;Okinawa Islands Strait
1071;1142;sea;2787;0;Bandar abbhas - Homuz Strait
1071;1141;sea;2787;0;Lengeh - Homuz Strait
1083;1086;sea;2832;0;Tatar Straits
#1087;1643;sea;2831;0;La Perouse Strait
1162;1165;sea;2788;0;Bahrain Strait
1309;1322;sea;2794;0;Palk Strait #Ceylon-S India
1310;1322;sea;2794;0;Palk Strait #Ceylon-S India
1384;1402;sea;2814;0;Straits of Johore
1384;1385;sea;2814;0;Straits of Johore to Singapore
1403;1413;sea;0;0;Sunda Strait
1418;1421;sea;2811;0;Strait of Madura
1420;1438;sea;0;0;Bali Strait
1438;1442;sea;0;0;Lombok Strait
1442;1440;sea;0;0;Sumbawa Strait
1495;1499;sea;2823;0;Hainan Strait
1457;1461;sea;2849;0;Tacloban Strait
1640;1660;land;2843;0;Fukuoka Strait
1642;1672;sea;0;0;Hakodate Strait
1664;1666;land;2843;0;Matsuyama Strait
1638;1666;land;2843;0;Matsuyama Strait 2
1667;1659;land;2843;0;Setto Strait
1411;1408;sea;2803;0;Gunungsitoli Strait
1404;1399;land;2813;0;Palak Panang Strait
1402;1401;sea;2814;0;Tanjungpinang Strait
1458;1455;land;2848;0;Mindoro Strait
1458;1459;sea;2848;0;Mindoro Strait
1458;1460;land;2850;0;Mindoro Strait
2565;1461;land;2850;0;Cebu Strait
2565;1460;land;2850;0;Cebu Strait
1461;1463;land;2850;0;Davao Strait
1462;1460;land;2850;0;Iloilo Strait
1462;1464;sea;2851;0;Sulu Strait
1440;1439;sea;0;0;Sumbawa-Flores Strait
1440;1441;sea;2808;0;Sumbawa-Sumba Strait
1443;1445;sea;0;0;Roti-Kaupeng Strait
1439;1444;sea;0;0;Flores-Alor Strait
1444;1446;sea;0;0;Alor-Dili Strait
1444;1451;sea;2854;0;Alor-Aru Strait
1446;1451;sea;2854;0;Dili-Aru Strait
1450;1449;sea;2853;0;Ceram-Ambon Strait
1449;1447;sea;2852;0;Ambon Strait
1447;1448;sea;2853;0;Ternate-Jilolo Strait
1451;1453;sea;2862;0;Aru-Sorong Strait
1450;1453;sea;2853;0;Ceram-Sorong Strait
1447;1434;sea;2852;0;Ternate Strait
1437;1436;sea;0;0;Bulon-Kendari Strait
1435;1425;sea;2812;0;Palu-Tarakan Strait
1644;1089;sea;2839;0;Nemuru-Etorofu Strait
#1089;1088;sea;2839;0;Etorofu-Shumshu Strait
1088;1074;sea;2838;0;Shumshu-Petropavlovsk Strait
1679;1678;sea;2845;0;Amari-Okinawa Strait
1637;1635;sea;2829;0;Cheju-Kwangju Strait
2664;1071;sea;2787;0;Hormuz Strait
#
# Oceanian Straits
#
2512;2516;sea;2876;0;Cook Strait #NZ
2537;1531;sea;2858;0;Villan Strait #New Britain-New Ireland

#
# Impassables
#
1326;1589;impassable;0;0;scary mountain
1326;1592;impassable;0;0;scary mountain
1328;1589;impassable;0;0;scary mountain
1329;1589;impassable;0;0;scary mountain
1329;1590;impassable;0;0;scary mountain
1329;1590;impassable;0;0;scary mountain
1329;1593;impassable;0;0;scary mountain
1258;1593;impassable;0;0;scary mountain
1260;1593;impassable;0;0;scary mountain
1259;1593;impassable;0;0;scary mountain
1238;1592;impassable;0;0;scary mountain
1244;1592;impassable;0;0;scary mountain
1235;1592;impassable;0;0;scary mountain
1226;1592;impassable;0;0;scary mountain
1327;1592;impassable;0;0;scary mountain
1328;1592;impassable;0;0;scary mountain
1225;1594;impassable;0;0;scary mountain
1226;1594;impassable;0;0;scary mountain
1210;1594;impassable;0;0;scary mountain
1208;1594;impassable;0;0;scary mountain
1226;1598;impassable;0;0;scary mountain
1226;1591;impassable;0;0;scary mountain

#Alps

#727;735;impassable;0;0;Bergamo-Bozen
#727;734;impassable;0;0;Bergamo-Trent
#732;735;impassable;0;0;Treviso-Bozen
#732;615;impassable;0;0;Treviso-Lienz
#732;618;impassable;0;0;Treviso-Klagenfurth
#733;618;impassable;0;0;Udine-Klagenfurt
2669;735;impassable;0;0;Sondrio-Bozen
2669;734;impassable;0;0;Sondrio-Trent
2669;611;impassable;0;0;Sondrio-Chur
2669;2568;impassable;0;0;Sondrio-Lugano
3262;734;impassable;0;0;Belluno-Trent
3262;735;impassable;0;0;Belluno-Bozen
3262;615;impassable;0;0;Belluno-Lienz
3262;618;impassable;0;0;Belluno-Klagenfurt
#727;611;impassable;0;0;Bergamo-Chur
#727;2568;impassable;0;0;Bergamo-Lugano
722;605;impassable;0;0;Novara-Bern
2568;722;impassable;0;0;Lugano-Novara
609;722;impassable;0;0;Sitten-Novara
606;722;impassable;0;0;Lucerne-Novara

#Alaskan Panhandle

2;6;impassable;0;0;
2;17;impassable;0;0;
1;15;impassable;0;0;
1;16;impassable;0;0;
1;17;impassable;0;0;

#Siberia

2687;2682;impassable;0;0;Northern urals
2689;2682;impassable;0;0;Northern urals
2689;1062;impassable;0;0;Northern urals
1026;1062;impassable;0;0;Northern urals
2659;2657;impassable;0;0;Yamal-Yenisei
2659;2692;impassable;0;0;Yamal-Yenisei
2615;2692;impassable;0;0;Yamal-Yenisei
2646;2692;impassable;0;0;Yamal-Yenisei
2654;2653;impassable;0;0;Yenisei-Yakut
2654;2673;impassable;0;0;Yenisei-Yakut
2693;2673;impassable;0;0;Yenisei-Yakut
2655;2673;impassable;0;0;Yenisei-Yakut
2655;2651;impassable;0;0;Yenisei-Yakut
2675;2651;impassable;0;0;Yenisei-Yakut

#Small and Large Caucasus

1104;1103;impassable;0;0;Sheki-Siyazen
1104;1052;impassable;0;0;Sheki-Derbent
1091;1053;impassable;0;0;Pasanauri-Gunib
1091;3296;impassable;0;0;Pasanauri-Shela
1092;1054;impassable;0;0;Kutaisi-Vladikavkaz
1092;1056;impassable;0;0;Kutaisi-Pyatigorsk
1095;1051;impassable;0;0;Sukhum-Adyghe
3274;1051;impassable;0;0;Svaneti-Adyghe
3274;1056;impassable;0;0;Svaneti-Pyatigorsk
1090;1099;impassable;0;0;Tblisi-Gyumri
1105;1099;impassable;0;0;Ganja-Gyumri
1106;1100;impassable;0;0;Agdam-Kapan

#Zagros and Albruz

1112;1113;impassable;0;0;Ardabil-Rasht
1124;1114;impassable;0;0;Qazvin-Nushahr
1121;1114;impassable;0;0;Tehran-Nushahr
1121;1115;impassable;0;0;Tehran-Sari
1126;1115;impassable;0;0;Semnan-Sari
890;1110;impassable;0;0;Van-Urumiya
924;1110;impassable;0;0;Rewanduz-Urumiya
924;3289;impassable;0;0;Rewanduz-Saqqiz
925;1118;impassable;0;0;Baban-Sanandaj
925;3289;impassable;0;0;Baban-Saqqiz
1119;1120;impassable;0;0;Ilam-Khoramabad
1131;1134;impassable;0;0;Ahvaz-Dehkord
1133;1128;impassable;0;0;Dezful-Arak
1133;1127;impassable;0;0;Dezful-Isfahan
1133;1134;impassable;0;0;Dezful-Dehkord

#
# The canals
#
2710;2721;canal;369;1;Kiel Canal
2781;2769;canal;1755;2;Suez Canal
2968;3001;canal;1723;3;Panama Canal
2773;2774;canal;860;4;Bosphorus Strait
2772;2773;canal;859;5;Dardanelles Strait
2711;2710;canal;372;6;Copenhagen Strait
2711;2712;canal;372;7;Copenhagen Strait
2746;2745;canal;517;8;North Gibraltar Strait
2746;2747;canal;517;9;North Gibraltar Strait
3305;2925;canal;2590;10;South Gibraltar Strait
3305;2747;canal;2590;11;South Gibraltar Strait
3305;2745;canal;2590;12;Cadiz - South Gibraltar Strait
2782;2783;canal;1875;13;Aden Strait
2801;2814;canal;1384;14;Malacca Strait
2805;2813;canal;1413;15;Batavia Strait
2807;2811;canal;1438;16;Javan Strait
2808;2811;canal;1442;17;Lombok Strait
2809;2810;canal;1439;18;Flores Strait
2809;2854;canal;1446;19;Alor Strait

#World Bank Neighbouring Provinces

1;3234;impassable;0;0;
2;3234;impassable;0;0;
3;3234;impassable;0;0;
4;3234;impassable;0;0;
5;3234;impassable;0;0;
6;3234;impassable;0;0;
7;3234;impassable;0;0;
8;3234;impassable;0;0;
9;3234;impassable;0;0;
10;3234;impassable;0;0;
11;3234;impassable;0;0;
12;3234;impassable;0;0;
13;3234;impassable;0;0;
14;3234;impassable;0;0;
15;3234;impassable;0;0;
16;3234;impassable;0;0;
17;3234;impassable;0;0;
18;3234;impassable;0;0;
19;3234;impassable;0;0;
20;3234;impassable;0;0;
21;3234;impassable;0;0;
22;3234;impassable;0;0;
23;3234;impassable;0;0;
24;3234;impassable;0;0;
25;3234;impassable;0;0;
26;3234;impassable;0;0;
27;3234;impassable;0;0;
28;3234;impassable;0;0;
29;3234;impassable;0;0;
30;3234;impassable;0;0;
31;3234;impassable;0;0;
32;3234;impassable;0;0;
33;3234;impassable;0;0;
34;3234;impassable;0;0;
35;3234;impassable;0;0;
36;3234;impassable;0;0;
37;3234;impassable;0;0;
38;3234;impassable;0;0;
39;3234;impassable;0;0;
40;3234;impassable;0;0;
41;3234;impassable;0;0;
42;3234;impassable;0;0;
43;3234;impassable;0;0;
44;3234;impassable;0;0;
45;3234;impassable;0;0;
46;3234;impassable;0;0;
47;3234;impassable;0;0;
48;3234;impassable;0;0;
49;3234;impassable;0;0;
50;3234;impassable;0;0;
51;3234;impassable;0;0;
52;3234;impassable;0;0;
53;3234;impassable;0;0;
54;3234;impassable;0;0;
55;3234;impassable;0;0;
56;3234;impassable;0;0;
57;3234;impassable;0;0;
58;3234;impassable;0;0;
59;3234;impassable;0;0;
60;3234;impassable;0;0;
61;3234;impassable;0;0;
62;3234;impassable;0;0;
63;3234;impassable;0;0;
64;3234;impassable;0;0;
65;3234;impassable;0;0;
66;3234;impassable;0;0;
67;3234;impassable;0;0;
68;3234;impassable;0;0;
69;3234;impassable;0;0;
70;3234;impassable;0;0;
71;3234;impassable;0;0;
72;3234;impassable;0;0;
73;3234;impassable;0;0;
74;3234;impassable;0;0;
75;3234;impassable;0;0;
76;3234;impassable;0;0;
77;3234;impassable;0;0;
78;3234;impassable;0;0;
79;3234;impassable;0;0;
80;3234;impassable;0;0;
81;3234;impassable;0;0;
82;3234;impassable;0;0;
83;3234;impassable;0;0;
84;3234;impassable;0;0;
85;3234;impassable;0;0;
86;3234;impassable;0;0;
87;3234;impassable;0;0;
88;3234;impassable;0;0;
89;3234;impassable;0;0;
90;3234;impassable;0;0;
91;3234;impassable;0;0;
92;3234;impassable;0;0;
93;3234;impassable;0;0;
94;3234;impassable;0;0;
95;3234;impassable;0;0;
96;3234;impassable;0;0;
97;3234;impassable;0;0;
98;3234;impassable;0;0;
99;3234;impassable;0;0;
100;3234;impassable;0;0;
101;3234;impassable;0;0;
102;3234;impassable;0;0;
103;3234;impassable;0;0;
104;3234;impassable;0;0;
105;3234;impassable;0;0;
106;3234;impassable;0;0;
107;3234;impassable;0;0;
108;3234;impassable;0;0;
109;3234;impassable;0;0;
110;3234;impassable;0;0;
111;3234;impassable;0;0;
112;3234;impassable;0;0;
113;3234;impassable;0;0;
114;3234;impassable;0;0;
115;3234;impassable;0;0;
116;3234;impassable;0;0;
117;3234;impassable;0;0;
118;3234;impassable;0;0;
119;3234;impassable;0;0;
120;3234;impassable;0;0;
121;3234;impassable;0;0;
122;3234;impassable;0;0;
123;3234;impassable;0;0;
124;3234;impassable;0;0;
125;3234;impassable;0;0;
126;3234;impassable;0;0;
127;3234;impassable;0;0;
128;3234;impassable;0;0;
129;3234;impassable;0;0;
130;3234;impassable;0;0;
131;3234;impassable;0;0;
132;3234;impassable;0;0;
133;3234;impassable;0;0;
134;3234;impassable;0;0;
135;3234;impassable;0;0;
136;3234;impassable;0;0;
137;3234;impassable;0;0;
138;3234;impassable;0;0;
139;3234;impassable;0;0;
140;3234;impassable;0;0;
141;3234;impassable;0;0;
142;3234;impassable;0;0;
143;3234;impassable;0;0;
144;3234;impassable;0;0;
145;3234;impassable;0;0;
146;3234;impassable;0;0;
147;3234;impassable;0;0;
148;3234;impassable;0;0;
149;3234;impassable;0;0;
150;3234;impassable;0;0;
151;3234;impassable;0;0;
152;3234;impassable;0;0;
153;3234;impassable;0;0;
154;3234;impassable;0;0;
155;3234;impassable;0;0;
156;3234;impassable;0;0;
157;3234;impassable;0;0;
158;3234;impassable;0;0;
159;3234;impassable;0;0;
160;3234;impassable;0;0;
161;3234;impassable;0;0;
162;3234;impassable;0;0;
163;3234;impassable;0;0;
164;3234;impassable;0;0;
165;3234;impassable;0;0;
166;3234;impassable;0;0;
167;3234;impassable;0;0;
168;3234;impassable;0;0;
169;3234;impassable;0;0;
170;3234;impassable;0;0;
171;3234;impassable;0;0;
172;3234;impassable;0;0;
173;3234;impassable;0;0;
174;3234;impassable;0;0;
175;3234;impassable;0;0;
176;3234;impassable;0;0;
177;3234;impassable;0;0;
178;3234;impassable;0;0;
179;3234;impassable;0;0;
180;3234;impassable;0;0;
181;3234;impassable;0;0;
182;3234;impassable;0;0;
183;3234;impassable;0;0;
184;3234;impassable;0;0;
185;3234;impassable;0;0;
186;3234;impassable;0;0;
187;3234;impassable;0;0;
188;3234;impassable;0;0;
189;3234;impassable;0;0;
190;3234;impassable;0;0;
191;3234;impassable;0;0;
192;3234;impassable;0;0;
193;3234;impassable;0;0;
194;3234;impassable;0;0;
195;3234;impassable;0;0;
196;3234;impassable;0;0;
197;3234;impassable;0;0;
198;3234;impassable;0;0;
199;3234;impassable;0;0;
200;3234;impassable;0;0;
201;3234;impassable;0;0;
202;3234;impassable;0;0;
203;3234;impassable;0;0;
204;3234;impassable;0;0;
205;3234;impassable;0;0;
206;3234;impassable;0;0;
207;3234;impassable;0;0;
208;3234;impassable;0;0;
209;3234;impassable;0;0;
210;3234;impassable;0;0;
211;3234;impassable;0;0;
212;3234;impassable;0;0;
213;3234;impassable;0;0;
214;3234;impassable;0;0;
215;3234;impassable;0;0;
216;3234;impassable;0;0;
217;3234;impassable;0;0;
218;3234;impassable;0;0;
219;3234;impassable;0;0;
220;3234;impassable;0;0;
221;3234;impassable;0;0;
222;3234;impassable;0;0;
223;3234;impassable;0;0;
224;3234;impassable;0;0;
225;3234;impassable;0;0;
226;3234;impassable;0;0;
227;3234;impassable;0;0;
228;3234;impassable;0;0;
229;3234;impassable;0;0;
230;3234;impassable;0;0;
231;3234;impassable;0;0;
232;3234;impassable;0;0;
233;3234;impassable;0;0;
234;3234;impassable;0;0;
235;3234;impassable;0;0;
236;3234;impassable;0;0;
237;3234;impassable;0;0;
238;3234;impassable;0;0;
239;3234;impassable;0;0;
240;3234;impassable;0;0;
241;3234;impassable;0;0;
242;3234;impassable;0;0;
243;3234;impassable;0;0;
244;3234;impassable;0;0;
245;3234;impassable;0;0;
246;3234;impassable;0;0;
247;3234;impassable;0;0;
248;3234;impassable;0;0;
249;3234;impassable;0;0;
250;3234;impassable;0;0;
251;3234;impassable;0;0;
252;3234;impassable;0;0;
253;3234;impassable;0;0;
254;3234;impassable;0;0;
255;3234;impassable;0;0;
256;3234;impassable;0;0;
257;3234;impassable;0;0;
258;3234;impassable;0;0;
259;3234;impassable;0;0;
260;3234;impassable;0;0;
261;3234;impassable;0;0;
262;3234;impassable;0;0;
